
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.315"	"16.722"	"20.944"	"22.807"	"24.418"	"25.232"	"23.972"	"22.603"	"22.286"	"22.383"	"21.348"	"19.087"
"1902"	"17.929"	"18.261"	"21.565"	"23.385"	"24.694"	"24.895"	"24.051"	"23.363"	"22.66"	"23.418"	"20.923"	"18.296"
"1903"	"16.655"	"17.114"	"19.224"	"21.91"	"24.211"	"25.077"	"23.972"	"23.146"	"22.79"	"22.653"	"19.761"	"17.725"
"1904"	"17.271"	"18.266"	"20.001"	"22.765"	"24.241"	"24.579"	"22.892"	"22.409"	"22.358"	"23.062"	"20.401"	"18.704"
"1905"	"16.121"	"16.269"	"18.988"	"21.313"	"24.372"	"24.772"	"23.359"	"22.903"	"23.115"	"23.358"	"21.519"	"18.342"
"1906"	"16.241"	"16.811"	"19.368"	"21.883"	"24.24"	"24.319"	"23.486"	"22.729"	"22.534"	"22.94"	"21.126"	"18.759"
"1907"	"17.785"	"17.948"	"20.33"	"22.399"	"23.757"	"24.439"	"24.258"	"22.104"	"22.576"	"22.256"	"21.358"	"17.953"
"1908"	"17.107"	"17.376"	"19.661"	"22.867"	"23.999"	"24.738"	"22.904"	"21.954"	"22.645"	"22.882"	"20.086"	"17.591"
"1909"	"16.354"	"17.934"	"20.896"	"22.322"	"24.2"	"24.283"	"22.775"	"22.398"	"22.236"	"22.022"	"20.428"	"17.761"
"1910"	"16.982"	"18.093"	"20.485"	"22.256"	"23.832"	"24.219"	"23.236"	"22.447"	"22.522"	"21.988"	"19.624"	"17.703"
"1911"	"17.218"	"17.719"	"19.565"	"21.8"	"24.142"	"23.944"	"23.477"	"22.356"	"22.186"	"22.302"	"20.531"	"19.389"
"1912"	"18.008"	"18.45"	"20.086"	"22.805"	"24.327"	"25.111"	"23.355"	"22.617"	"22.606"	"22.813"	"20.046"	"18.075"
"1913"	"17.236"	"17.811"	"18.626"	"22.338"	"23.998"	"24.125"	"23.189"	"22.474"	"22.467"	"23.097"	"20.548"	"17.995"
"1914"	"17.806"	"17.571"	"19.636"	"21.931"	"24.24"	"24.349"	"23.032"	"22.616"	"22.485"	"22.942"	"21.731"	"17.935"
"1915"	"16.964"	"17.011"	"20.369"	"22.253"	"24.322"	"24.973"	"24.173"	"22.813"	"22.644"	"23.154"	"21.337"	"18.469"
"1916"	"17.652"	"16.827"	"21.428"	"22.675"	"24.145"	"24.033"	"23.523"	"22.346"	"22.702"	"22.871"	"19.8"	"17.794"
"1917"	"17.896"	"18.193"	"20.253"	"22.253"	"23.273"	"23.884"	"22.943"	"22.339"	"22.07"	"22.284"	"19.893"	"17.583"
"1918"	"16.604"	"17.843"	"20.728"	"21.475"	"24.24"	"24.078"	"23.599"	"22.412"	"22.319"	"22.423"	"21.25"	"17.985"
"1919"	"17.206"	"17.69"	"20.066"	"22.126"	"24.149"	"24.147"	"22.979"	"21.894"	"22.44"	"22.737"	"21.055"	"17.92"
"1920"	"17.767"	"17.855"	"20.852"	"22.441"	"23.678"	"24.038"	"22.889"	"22.362"	"22.872"	"23.069"	"21.29"	"17.861"
"1921"	"17.395"	"17.888"	"21.234"	"23.047"	"24.28"	"24.796"	"23.729"	"22.568"	"22.078"	"22.716"	"20.525"	"18.994"
"1922"	"16.763"	"18.268"	"20.574"	"22.926"	"24.068"	"24.618"	"23.24"	"22.084"	"22.16"	"22.432"	"20.753"	"17.558"
"1923"	"17.438"	"17.33"	"20.857"	"22.325"	"23.664"	"24.768"	"23.026"	"22.187"	"22.666"	"22.085"	"19.763"	"18.508"
"1924"	"17.039"	"17.815"	"21.737"	"22.972"	"24.302"	"24.984"	"23.553"	"22.447"	"22.363"	"22.063"	"19.758"	"18.487"
