
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.101"	"0"	"0.089"	"0.94"	"2.845"	"22.088"	"109.182"	"87.69"	"27.94"	"3.245"	"0.393"	"0"
"1902"	"0"	"0"	"0"	"0.271"	"0.014"	"13.42"	"190.478"	"189.066"	"172.468"	"6.01"	"0.703"	"0.77"
"1903"	"0"	"0"	"5.724"	"0"	"11.238"	"10.702"	"540.47"	"121.793"	"183.339"	"0.272"	"0.393"	"0"
"1904"	"0"	"33.739"	"40.054"	"0"	"0.014"	"32.236"	"357.28"	"5.023"	"5.19"	"0.315"	"0.393"	"0.025"
"1905"	"0"	"7.642"	"0.981"	"5.345"	"0.014"	"8.747"	"286.207"	"32.279"	"16.26"	"0.822"	"0.445"	"0"
"1906"	"0.132"	"37.879"	"0"	"0"	"0.014"	"188.592"	"305.265"	"310.058"	"24.99"	"46.726"	"0.393"	"0"
"1907"	"0.014"	"4.173"	"0"	"26.522"	"0.014"	"82.338"	"394.805"	"205.007"	"1.421"	"0.254"	"0.393"	"0"
"1908"	"3.088"	"0"	"0"	"0"	"0.014"	"71.887"	"527.295"	"343.681"	"60.819"	"3.156"	"0.393"	"0"
"1909"	"0.008"	"8.049"	"0"	"5.577"	"0.022"	"208.373"	"276.227"	"78.742"	"212.405"	"2.218"	"0.393"	"12.251"
"1910"	"0.083"	"0"	"0"	"1.073"	"0.014"	"361.637"	"247.007"	"391.978"	"54.058"	"1.185"	"0.605"	"0"
"1911"	"2.67"	"0"	"36.568"	"0"	"0.231"	"170.594"	"21.115"	"60.098"	"41.796"	"0.254"	"1.988"	"0.233"
"1912"	"0"	"0"	"0.108"	"3.485"	"0.014"	"406.902"	"484.19"	"223.219"	"33.486"	"13.307"	"8.088"	"0"
"1913"	"0"	"0.13"	"0"	"0"	"0.014"	"323.83"	"227.469"	"56.131"	"33.824"	"0.297"	"0.393"	"0"
